TABLE	code	libelle	definition
l_adresse_etat	CI	CIBLE	
l_adresse_etat	SI	SIGNE	
l_adresse_etat	EC	EN COURS DE DEPLOIEMENT	
l_adresse_etat	DE	DEPLOYE	
l_adresse_etat	AB	ABANDONNE	
l_avancement	E	EXISTANT	
l_avancement	C	A CREER	
l_avancement	T	TRAVAUX	
l_avancement	S	EN SERVICE	
l_avancement	H	HORS SERVICE	
l_avancement	A	ABANDONNE	
l_baie_type	BAIE	BAIE	
l_baie_type	FERME	FERME	
l_bp_racco	FCLI01	CLIENT : CONTACT ERRONE	Le client ne peut être joint, exemple son nom ou ses coordonnées téléphoniques sont erronnées Utilisé dans le cas de raccordement par l OI
l_bp_racco	FCLI02	CLIENT : CLIENT INJOIGNABLE IMPOSSIBLE DE PRENDRE RDV	Les coordonnées ne sont pas nécessairement erronnées mais le client n est pas joignable (ne répond pas). La définition précise de ne répond pas n est pas normalisée Interop Utilisé dans le cas de raccordement par l OI
l_bp_racco	FCLI03	CLIENT : CLIENT N HABITE PAS A L ADRESSE INDIQUEE	Le RDV a été pris, lors du déplacement le technicien constate que le client n habite pas à l adresse indiquée par l OC
l_bp_racco	FCLI04	CLIENT : DEMANDE ANNULATION DE LA COMMANDE PAR LE CLIENT FINAL	Que ce soit en amont du RDV ou lors du RDV, le client demande à annuler sa commande Utilisé dans le cas de raccordement par l OI
l_bp_racco	FCLI05	CLIENT : REFUS TRAVAUX CLIENT	Que ce soit en amont du RDV ou lors du RDV, le client refuse les travaux (percement, etc.) Utilisé dans le cas de raccordement par l OI
l_bp_racco	FCLI06	CLIENT : REFUS GESTIONNAIRE IMMEUBLE	Lors du raccordement client, un passage en apparent sur le palier est nécessaire et a été refusé par le gestionnaire (par exemple car les goulottes sont saturées ou le palier a été refait)
l_bp_racco	FCLI07	CLIENT : CLIENT ABSENT LORS DE L INTERVENTION	Lors du RDV, le client est absent. Utilisé dans le cas de raccordement par l OI
l_bp_racco	FADR01	ADRESSE : CODE ADRESSE IMMEUBLE INEXISTANT DANS LE REFERENTIEL OI	L OC envoie des codes adresses inexistants de l OI Les informations d adresse sont contrôlées dans l ordre suivant : 1 Hexaclé 2 INSEE/RIVOLI/NUM VOIE/ COMPL VOIE 3 Triplet Hexavia/numéro de voie /complément de voie 4 coordonnées xy
l_bp_racco	FADR02	ADRESSE : BATIMENT MANQUANT OU INEXISTANT DANS LE REFERENTIEL OI	L adresse a été reconnue mais le batiment est manquant ou inexistant dans le référentiel de l OI
l_bp_racco	FADR03	ADRESSE : ESCALIER MANQUANT OU INEXISTANT DANS LE REFERENTIEL OI	L adresse et le batiment ont été reconnus mais l escalier est manquant ou inexistant dans le référentiel de l OI
l_bp_racco	FADR04	ADRESSE : ETAGE MANQUANT OU INEXISTANT DANS LE REFERENTIEL OI	L adresse, le batiment et l escalier ont été reconnus mais l étage est manquant ou inexistant dans le référentiel de l OI
l_bp_racco	FIMP01	TRAITEMENT IMPOSSIBLE : PTO REQUISE	L OC est tenu de passer une référence PTO dans sa commande. L OI refuse la commande.
l_bp_racco	FIMP02	TRAITEMENT IMPOSSIBLE : PTO INEXISTANTE DANS LE REFERENTIEL OI	L OC a fourni une référence PTO dans sa commande mais elle est inconnue de l OI
l_bp_racco	FIMP03	TRAITEMENT IMPOSSIBLE : PTO INCONNUE A L ADRESSE	L OC a fourni une référence PTO dans sa commande, elle est connue de l OI mais est incohérente par rapport à l adresse complète (y compris batiment/escalier/étage) dans le référentiel de l OI
l_bp_racco	FIMP04	TRAITEMENT IMPOSSIBLE : REF PRESTATION PM INEXISTANTE DANS LE REFERENTIEL OI	L OC a renvoyé une référence prestation PM inconnue de l OI (exemple l OC se trompe dans la référence PM ou l OI n a pas communiqué un changement de référence PM)
l_bp_racco	FIMP05	TRAITEMENT IMPOSSIBLE : REF PRESTATION PM ET ADRESSE INCOHERENTES	La reference prestation PM existe mais n est pas cohérente avec l adresse communiquée
l_bp_racco	FIMP06	TRAITEMENT IMPOSSIBLE : TYPE DE COMMANDE IRRECEVABLE SUR CETTE REF PRESTATION PM	La reference prestation PM existe, elle est cohérente avec l adresse communiquée mais elle est irrecevable (par exemple le type de commande est incompatible avec le choix de cofinancement ou de location du PM)
l_bp_racco	FIMP07	TRAITEMENT IMPOSSIBLE : PM INEXISTANT DANS LE REFERENTIEL OI	L OC envoie une commande d accès sur un PM inexistant dans le référentiel de l OI (exemple changement de reference PM par l OI non communiqué à l OC ou erreur de l OC dans l envoi de la référence)
l_bp_racco	FIMP08	TRAITEMENT IMPOSSIBLE : PM ET ADRESSE INCOHERENTS	L OC envoie une commande d accès sur un PM connu dans le référentiel de l OI mais incohérent avec l adresse
l_bp_racco	FIMP09	TRAITEMENT IMPOSSIBLE : COMMANDE IRRECEVABLE SUR CE PM	L OC n est pas adducté au PM ou il n a pas retourné toutes les infos ou documents attendus ou l OI n a pas intégré les données retournées par l OC ou l OI rejette la commande qui est passée avant la date de MESC ARCEP
l_bp_racco	FIMP10	TRAITEMENT IMPOSSIBLE : COMMANDE IRRECEVABLE SUR CETTE ADRESSE	L adresse n a pas été mise à disposition à l OC (le CR MAD n a pas été emis sur cette adresse)
l_bp_racco	FIMP11	TRAITEMENT IMPOSSIBLE : ADRESSE INELIGIBLE TEMPORAIREMENT	Le site est temporairement ineligible par exemple en maintenance
