cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
CB716000000001;CD716000000265;29/08/2022 00:00;;;;
CB716000000001;CD716000000301;29/08/2022 00:00;;;;
CB716000000001;CD716000000302;29/08/2022 00:00;;;;
CB716000000001;CD716000000308;29/08/2022 00:00;;;;
CB716000000002;CD716000000103;29/08/2022 00:00;;;;
CB716000000002;CD716000000310;29/08/2022 00:00;;;;
CB716000000003;CD716000000040;29/08/2022 00:00;;;;
CB716000000003;CD716000000061;29/08/2022 00:00;;;;
CB716000000003;CD716000000315;29/08/2022 00:00;;;;
CB716000000004;CD716000000233;29/08/2022 00:00;;;;
CB716000000005;CD716000000221;29/08/2022 00:00;;;;
CB716000000005;CD716000000233;29/08/2022 00:00;;;;
CB716000000005;CD716000000234;29/08/2022 00:00;;;;
CB716000000006;CD716000000219;29/08/2022 00:00;;;;
CB716000000006;CD716000000220;29/08/2022 00:00;;;;
CB716000000007;CD716000000040;29/08/2022 00:00;;;;
CB716000000007;CD716000000061;29/08/2022 00:00;;;;
CB716000000007;CD716000000221;29/08/2022 00:00;;;;
CB716000000007;CD716000000222;29/08/2022 00:00;;;;
CB716000000007;CD716000000234;29/08/2022 00:00;;;;
CB716000000007;CD716000000315;29/08/2022 00:00;;;;
CB716000000008;CD716000000223;29/08/2022 00:00;;;;
CB716000000010;CD716000000068;29/08/2022 00:00;;;;
CB716000000010;CD716000000084;29/08/2022 00:00;;;;
CB716000000011;CD716000000227;29/08/2022 00:00;;;;
CB716000000011;CD716000000229;29/08/2022 00:00;;;;
CB716000000012;CD716000000228;29/08/2022 00:00;;;;
CB716000000012;CD716000000303;29/08/2022 00:00;;;;
CB716000000013;CD716000000040;29/08/2022 00:00;;;;
CB716000000013;CD716000000054;29/08/2022 00:00;;;;
CB716000000014;CD716000000230;29/08/2022 00:00;;;;
CB716000000014;CD716000000231;29/08/2022 00:00;;;;
CB716000000014;CD716000000232;29/08/2022 00:00;;;;
CB716000000015;CD716000000109;29/08/2022 00:00;;;;
CB716000000015;CD716000000111;29/08/2022 00:00;;;;
CB716000000016;CD716000000264;29/08/2022 00:00;;;;
CB716000000017;CD716000000265;29/08/2022 00:00;;;;
CB716000000017;CD716000000308;29/08/2022 00:00;;;;
CB716000000018;CD716000000266;29/08/2022 00:00;;;;
CB716000000019;CD716000000267;29/08/2022 00:00;;;;
CB716000000020;CD716000000268;29/08/2022 00:00;;;;
CB716000000021;CD716000000262;29/08/2022 00:00;;;;
CB716000000021;CD716000000310;29/08/2022 00:00;;;;
CB716000000021;CD716000000312;29/08/2022 00:00;;;;
CB716000000021;CD716000000313;29/08/2022 00:00;;;;
CB716000000022;CD716000000261;29/08/2022 00:00;;;;
CB716000000022;CD716000000263;29/08/2022 00:00;;;;
CB716000000023;CD716000000108;29/08/2022 00:00;;;;
CB716000000023;CD716000000310;29/08/2022 00:00;;;;
CB716000000023;CD716000000314;29/08/2022 00:00;;;;
CB716000000024;CD716000000176;29/08/2022 00:00;;;;
CB716000000024;CD716000000177;29/08/2022 00:00;;;;
CB716000000025;CD716000000001;29/08/2022 00:00;;;;
CB716000000025;CD716000000008;29/08/2022 00:00;;;;
CB716000000025;CD716000000019;29/08/2022 00:00;;;;
CB716000000025;CD716000000028;29/08/2022 00:00;;;;
CB716000000025;CD716000000265;29/08/2022 00:00;;;;
CB716000000025;CD716000000284;29/08/2022 00:00;;;;
CB716000000025;CD716000000301;29/08/2022 00:00;;;;
CB716000000025;CD716000000302;29/08/2022 00:00;;;;
CB716000000025;CD716000000308;29/08/2022 00:00;;;;
CB716000000025;CD716000000310;29/08/2022 00:00;;;;
CB716000000026;CD716000000065;29/08/2022 00:00;;;;
CB716000000026;CD716000000093;29/08/2022 00:00;;;;
CB716000000027;CD716000000270;29/08/2022 00:00;;;;
CB716000000027;CD716000000271;29/08/2022 00:00;;;;
CB716000000027;CD716000000272;29/08/2022 00:00;;;;
CB716000000028;CD716000000273;29/08/2022 00:00;;;;
CB716000000029;CD716000000192;29/08/2022 00:00;;;;
CB716000000029;CD716000000194;29/08/2022 00:00;;;;
CB716000000029;CD716000000195;29/08/2022 00:00;;;;
CB716000000030;CD716000000187;29/08/2022 00:00;;;;
CB716000000030;CD716000000188;29/08/2022 00:00;;;;
CB716000000030;CD716000000190;29/08/2022 00:00;;;;
CB716000000031;CD716000000186;29/08/2022 00:00;;;;
CB716000000031;CD716000000235;29/08/2022 00:00;;;;
CB716000000032;CD716000000065;29/08/2022 00:00;;;;
CB716000000032;CD716000000093;29/08/2022 00:00;;;;
CB716000000032;CD716000000198;29/08/2022 00:00;;;;
CB716000000032;CD716000000199;29/08/2022 00:00;;;;
CB716000000033;CD716000000196;29/08/2022 00:00;;;;
CB716000000033;CD716000000197;29/08/2022 00:00;;;;
CB716000000034;CD716000000065;29/08/2022 00:00;;;;
CB716000000034;CD716000000093;29/08/2022 00:00;;;;
CB716000000034;CD716000000193;29/08/2022 00:00;;;;
CB716000000034;CD716000000194;29/08/2022 00:00;;;;
CB716000000034;CD716000000195;29/08/2022 00:00;;;;
CB716000000034;CD716000000270;29/08/2022 00:00;;;;
CB716000000034;CD716000000271;29/08/2022 00:00;;;;
CB716000000034;CD716000000272;29/08/2022 00:00;;;;
CB716000000034;CD716000000273;29/08/2022 00:00;;;;
CB716000000035;CD716000000189;29/08/2022 00:00;;;;
CB716000000035;CD716000000191;29/08/2022 00:00;;;;
CB716000000036;CD716000000237;29/08/2022 00:00;;;;
CB716000000036;CD716000000294;29/08/2022 00:00;;;;
CB716000000037;CD716000000063;29/08/2022 00:00;;;;
CB716000000037;CD716000000215;29/08/2022 00:00;;;;
CB716000000037;CD716000000216;29/08/2022 00:00;;;;
CB716000000037;CD716000000217;29/08/2022 00:00;;;;
CB716000000038;CD716000000218;29/08/2022 00:00;;;;
CB716000000039;CD716000000236;29/08/2022 00:00;;;;
CB716000000040;CD716000000001;29/08/2022 00:00;;;;
CB716000000040;CD716000000008;29/08/2022 00:00;;;;
CB716000000040;CD716000000047;29/08/2022 00:00;;;;
CB716000000041;CD716000000254;29/08/2022 00:00;;;;
CB716000000041;CD716000000255;29/08/2022 00:00;;;;
CB716000000042;CD716000000008;29/08/2022 00:00;;;;
CB716000000042;CD716000000046;29/08/2022 00:00;;;;
CB716000000043;CD716000000003;29/08/2022 00:00;;;;
CB716000000044;CD716000000010;29/08/2022 00:00;;;;
CB716000000044;CD716000000082;29/08/2022 00:00;;;;
CB716000000045;CD716000000073;29/08/2022 00:00;;;;
CB716000000045;CD716000000294;29/08/2022 00:00;;;;
CB716000000046;CD716000000019;29/08/2022 00:00;;;;
CB716000000046;CD716000000245;29/08/2022 00:00;;;;
CB716000000046;CD716000000265;29/08/2022 00:00;;;;
CB716000000046;CD716000000301;29/08/2022 00:00;;;;
CB716000000046;CD716000000302;29/08/2022 00:00;;;;
CB716000000046;CD716000000308;29/08/2022 00:00;;;;
CB716000000046;CD716000000310;29/08/2022 00:00;;;;
CB716000000047;CD716000000076;29/08/2022 00:00;;;;
CB716000000047;CD716000000276;29/08/2022 00:00;;;;
CB716000000049;CD716000000048;29/08/2022 00:00;;;;
CB716000000049;CD716000000098;29/08/2022 00:00;;;;
CB716000000050;CD716000000206;29/08/2022 00:00;;;;
CB716000000050;CD716000000207;29/08/2022 00:00;;;;
