cs_code;cs_ti_code
CS716000000001;TI716000000001
CS716000000002;TI716000000001
CS716000000003;TI716000000001
CS716000000004;TI716000000001
CS716000000005;TI716000000001
CS716000000006;TI716000000001
CS716000000007;TI716000000001
CS716000000008;TI716000000001
CS716000000009;TI716000000001
CS716000000010;TI716000000001
CS716000000011;TI716000000001
CS716000000012;TI716000000002
CS716000000013;TI716000000002
CS716000000014;TI716000000002
CS716000000015;TI716000000002
CS716000000016;TI716000000002
CS716000000017;TI716000000002
CS716000000018;TI716000000003
CS716000000019;TI716000000003
CS716000000020;TI716000000003
CS716000000021;TI716000000003
CS716000000022;TI716000000003
CS716000000023;TI716000000003
CS716000000024;TI716000000004
CS716000000025;TI716000000004
CS716000000026;TI716000000004
CS716000000027;TI716000000004
CS716000000028;TI716000000004
CS716000000029;TI716000000004
CS716000000030;TI716000000005
CS716000000031;TI716000000005
CS716000000032;TI716000000005
CS716000000033;TI716000000005
CS716000000034;TI716000000005
