dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
CD716000000001;CM716000000001;29/08/2022 00:00;;;;
CD716000000002;CM716000000001;29/08/2022 00:00;;;;
CD716000000003;CM716000000002;29/08/2022 00:00;;;;
CD716000000004;CM716000000003;29/08/2022 00:00;;;;
CD716000000005;CM716000000004;29/08/2022 00:00;;;;
CD716000000006;CM716000000005;29/08/2022 00:00;;;;
CD716000000007;CM716000000005;29/08/2022 00:00;;;;
CD716000000008;CM716000000006;29/08/2022 00:00;;;;
CD716000000009;CM716000000006;29/08/2022 00:00;;;;
CD716000000010;CM716000000007;29/08/2022 00:00;;;;
CD716000000011;CM716000000008;29/08/2022 00:00;;;;
CD716000000012;CM716000000008;29/08/2022 00:00;;;;
CD716000000013;CM716000000009;29/08/2022 00:00;;;;
CD716000000014;CM716000000009;29/08/2022 00:00;;;;
CD716000000015;CM716000000010;29/08/2022 00:00;;;;
CD716000000016;CM716000000011;29/08/2022 00:00;;;;
CD716000000017;CM716000000011;29/08/2022 00:00;;;;
CD716000000018;CM716000000012;29/08/2022 00:00;;;;
CD716000000019;CM716000000013;29/08/2022 00:00;;;;
CD716000000020;CM716000000013;29/08/2022 00:00;;;;
CD716000000021;CM716000000013;29/08/2022 00:00;;;;
CD716000000022;CM716000000013;29/08/2022 00:00;;;;
CD716000000023;CM716000000013;29/08/2022 00:00;;;;
CD716000000024;CM716000000013;29/08/2022 00:00;;;;
CD716000000025;CM716000000013;29/08/2022 00:00;;;;
CD716000000026;CM716000000013;29/08/2022 00:00;;;;
CD716000000027;CM716000000013;29/08/2022 00:00;;;;
CD716000000028;CM716000000014;29/08/2022 00:00;;;;
CD716000000029;CM716000000014;29/08/2022 00:00;;;;
CD716000000030;CM716000000014;29/08/2022 00:00;;;;
CD716000000031;CM716000000014;29/08/2022 00:00;;;;
CD716000000032;CM716000000014;29/08/2022 00:00;;;;
CD716000000033;CM716000000015;29/08/2022 00:00;;;;
CD716000000034;CM716000000015;29/08/2022 00:00;;;;
CD716000000035;CM716000000015;29/08/2022 00:00;;;;
CD716000000036;CM716000000016;29/08/2022 00:00;;;;
CD716000000037;CM716000000016;29/08/2022 00:00;;;;
CD716000000038;CM716000000016;29/08/2022 00:00;;;;
CD716000000039;CM716000000017;29/08/2022 00:00;;;;
CD716000000040;CM716000000018;29/08/2022 00:00;;;;
CD716000000041;CM716000000018;29/08/2022 00:00;;;;
CD716000000042;CM716000000018;29/08/2022 00:00;;;;
CD716000000043;CM716000000019;29/08/2022 00:00;;;;
CD716000000044;CM716000000019;29/08/2022 00:00;;;;
CD716000000045;CM716000000019;29/08/2022 00:00;;;;
CD716000000046;CM716000000020;29/08/2022 00:00;;;;
CD716000000047;CM716000000021;29/08/2022 00:00;;;;
CD716000000048;CM716000000022;29/08/2022 00:00;;;;
CD716000000049;CM716000000022;29/08/2022 00:00;;;;
CD716000000050;CM716000000022;29/08/2022 00:00;;;;
CD716000000051;CM716000000022;29/08/2022 00:00;;;;
CD716000000052;CM716000000023;29/08/2022 00:00;;;;
CD716000000053;CM716000000023;29/08/2022 00:00;;;;
CD716000000054;CM716000000024;29/08/2022 00:00;;;;
CD716000000055;CM716000000025;29/08/2022 00:00;;;;
CD716000000056;CM716000000026;29/08/2022 00:00;;;;
CD716000000057;CM716000000026;29/08/2022 00:00;;;;
CD716000000058;CM716000000027;29/08/2022 00:00;;;;
CD716000000059;CM716000000027;29/08/2022 00:00;;;;
CD716000000060;CM716000000027;29/08/2022 00:00;;;;
CD716000000061;CM716000000028;29/08/2022 00:00;;;;
CD716000000062;CM716000000028;29/08/2022 00:00;;;;
CD716000000063;CM716000000029;29/08/2022 00:00;;;;
CD716000000064;CM716000000030;29/08/2022 00:00;;;;
CD716000000065;CM716000000031;29/08/2022 00:00;;;;
CD716000000066;CM716000000031;29/08/2022 00:00;;;;
CD716000000067;CM716000000031;29/08/2022 00:00;;;;
CD716000000068;CM716000000032;29/08/2022 00:00;;;;
CD716000000069;CM716000000032;29/08/2022 00:00;;;;
CD716000000070;CM716000000033;29/08/2022 00:00;;;;
CD716000000071;CM716000000033;29/08/2022 00:00;;;;
CD716000000072;CM716000000033;29/08/2022 00:00;;;;
CD716000000073;CM716000000034;29/08/2022 00:00;;;;
CD716000000074;CM716000000035;29/08/2022 00:00;;;;
CD716000000075;CM716000000035;29/08/2022 00:00;;;;
CD716000000076;CM716000000036;29/08/2022 00:00;;;;
CD716000000077;CM716000000036;29/08/2022 00:00;;;;
CD716000000078;CM716000000037;29/08/2022 00:00;;;;
CD716000000079;CM716000000038;29/08/2022 00:00;;;;
CD716000000080;CM716000000038;29/08/2022 00:00;;;;
CD716000000081;CM716000000039;29/08/2022 00:00;;;;
CD716000000082;CM716000000040;29/08/2022 00:00;;;;
CD716000000083;CM716000000040;29/08/2022 00:00;;;;
CD716000000084;CM716000000041;29/08/2022 00:00;;;;
CD716000000085;CM716000000041;29/08/2022 00:00;;;;
CD716000000086;CM716000000041;29/08/2022 00:00;;;;
CD716000000087;CM716000000041;29/08/2022 00:00;;;;
CD716000000088;CM716000000041;29/08/2022 00:00;;;;
CD716000000089;CM716000000042;29/08/2022 00:00;;;;
CD716000000090;CM716000000042;29/08/2022 00:00;;;;
CD716000000091;CM716000000043;29/08/2022 00:00;;;;
CD716000000092;CM716000000044;29/08/2022 00:00;;;;
CD716000000093;CM716000000045;29/08/2022 00:00;;;;
CD716000000094;CM716000000045;29/08/2022 00:00;;;;
CD716000000095;CM716000000046;29/08/2022 00:00;;;;
CD716000000096;CM716000000046;29/08/2022 00:00;;;;
CD716000000097;CM716000000047;29/08/2022 00:00;;;;
CD716000000098;CM716000000048;29/08/2022 00:00;;;;
CD716000000099;CM716000000049;29/08/2022 00:00;;;;
CD716000000100;CM716000000049;29/08/2022 00:00;;;;
CD716000000101;CM716000000050;29/08/2022 00:00;;;;
CD716000000102;CM716000000051;29/08/2022 00:00;;;;
CD716000000103;CM716000000052;29/08/2022 00:00;;;;
CD716000000104;CM716000000052;29/08/2022 00:00;;;;
CD716000000105;CM716000000052;29/08/2022 00:00;;;;
CD716000000106;CM716000000052;29/08/2022 00:00;;;;
CD716000000107;CM716000000052;29/08/2022 00:00;;;;
CD716000000108;CM716000000053;29/08/2022 00:00;;;;
CD716000000109;CM716000000054;29/08/2022 00:00;;;;
CD716000000110;CM716000000054;29/08/2022 00:00;;;;
CD716000000111;CM716000000055;29/08/2022 00:00;;;;
