ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS716000000001;1;;FO716000000001;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000002;2;;FO716000000002;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000003;3;;FO716000000003;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000004;4;;FO716000000004;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000005;5;;FO716000000005;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000006;6;;FO716000000006;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000007;7;;FO716000000007;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000008;8;;FO716000000008;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000009;9;;FO716000000009;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000010;10;;FO716000000010;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000011;11;;FO716000000011;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000012;12;;FO716000000012;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000013;13;;FO716000000013;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000014;14;;FO716000000014;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000015;15;;FO716000000015;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000016;16;;FO716000000016;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000017;17;;FO716000000017;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000018;18;;FO716000000018;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000019;19;;FO716000000019;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000020;20;;FO716000000020;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000021;21;;FO716000000021;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000022;22;;FO716000000022;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000023;23;;FO716000000023;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000024;24;;FO716000000024;CS716000000012;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000025;1;;FO716000000025;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000026;2;;FO716000000026;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000027;3;;FO716000000027;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000028;4;;FO716000000028;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000029;5;;FO716000000029;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000030;6;;FO716000000030;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000031;7;;FO716000000031;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000032;8;;FO716000000032;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000033;9;;FO716000000033;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000034;10;;FO716000000034;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000035;11;;FO716000000035;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000036;12;;FO716000000036;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000037;13;;FO716000000037;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000038;14;;FO716000000038;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000039;15;;FO716000000039;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000040;16;;FO716000000040;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000041;17;;FO716000000041;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000042;18;;FO716000000042;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000043;19;;FO716000000043;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000044;20;;FO716000000044;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000045;21;;FO716000000045;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000046;22;;FO716000000046;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000047;23;;FO716000000047;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000048;24;;FO716000000048;CS716000000013;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000049;1;;FO716000000049;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000050;2;;FO716000000050;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000051;3;;FO716000000051;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000052;4;;FO716000000052;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000053;5;;FO716000000053;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000054;6;;FO716000000054;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000055;7;;FO716000000055;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000056;8;;FO716000000056;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000057;9;;FO716000000057;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000058;10;;FO716000000058;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000059;11;;FO716000000059;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000060;12;;FO716000000060;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000061;13;;FO716000000061;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000062;14;;FO716000000062;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000063;15;;FO716000000063;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000064;16;;FO716000000064;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000065;17;;FO716000000065;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000066;18;;FO716000000066;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000067;19;;FO716000000067;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000068;20;;FO716000000068;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000069;21;;FO716000000069;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000070;22;;FO716000000070;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000071;23;;FO716000000071;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000072;24;;FO716000000072;CS716000000014;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000073;1;;FO716000000073;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000074;2;;FO716000000074;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000075;3;;FO716000000075;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000076;4;;FO716000000076;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000077;5;;FO716000000077;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000078;6;;FO716000000078;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000079;7;;FO716000000079;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000080;8;;FO716000000080;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000081;9;;FO716000000081;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000082;10;;FO716000000082;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000083;11;;FO716000000083;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000084;12;;FO716000000084;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000085;13;;FO716000000085;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000086;14;;FO716000000086;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000087;15;;FO716000000087;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000088;16;;FO716000000088;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000089;17;;FO716000000089;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000090;18;;FO716000000090;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000091;19;;FO716000000091;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000092;20;;FO716000000092;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000093;21;;FO716000000093;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000094;22;;FO716000000094;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000095;23;;FO716000000095;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000096;24;;FO716000000096;CS716000000015;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000097;1;;FO716000000097;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000098;2;;FO716000000098;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000099;3;;FO716000000099;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000100;4;;FO716000000100;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000101;5;;FO716000000101;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000102;6;;FO716000000102;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000103;7;;FO716000000103;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000104;8;;FO716000000104;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000105;9;;FO716000000105;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000106;10;;FO716000000106;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000107;11;;FO716000000107;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000108;12;;FO716000000108;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000109;13;;FO716000000109;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000110;14;;FO716000000110;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000111;15;;FO716000000111;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000112;16;;FO716000000112;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000113;17;;FO716000000113;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000114;18;;FO716000000114;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000115;19;;FO716000000115;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000116;20;;FO716000000116;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000117;21;;FO716000000117;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000118;22;;FO716000000118;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000119;23;;FO716000000119;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000120;24;;FO716000000120;CS716000000016;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000121;1;;FO716000000121;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000122;2;;FO716000000122;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000123;3;;FO716000000123;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000124;4;;FO716000000124;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000125;5;;FO716000000125;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000126;6;;FO716000000126;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000127;7;;FO716000000661;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000128;8;;FO716000000662;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000129;9;;FO716000000663;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000130;10;;FO716000000664;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000131;11;;FO716000000665;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000132;12;;FO716000000666;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000133;13;;FO716000000667;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000134;14;;FO716000000668;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000135;15;;FO716000000669;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000136;16;;FO716000000670;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000137;17;;FO716000000671;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000138;18;;FO716000000672;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000139;19;;FO716000000673;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000140;20;;FO716000000674;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000141;21;;FO716000000675;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000142;22;;FO716000000676;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000143;23;;FO716000000677;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000144;24;;FO716000000678;CS716000000017;TI716000000002;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000145;1;;FO716000000679;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000146;2;;FO716000000680;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000147;3;;FO716000000681;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000148;4;;FO716000000682;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000149;5;;FO716000000683;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000150;6;;FO716000000684;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000151;7;;FO716000000685;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000152;8;;FO716000000686;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000153;9;;FO716000000687;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000154;10;;FO716000000688;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000155;11;;FO716000000689;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000156;12;;FO716000000690;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000157;13;;FO716000000691;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000158;14;;FO716000000692;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000159;15;;FO716000000693;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000160;16;;FO716000000694;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000161;17;;FO716000000695;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000162;18;;FO716000000696;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000163;19;;FO716000000697;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000164;20;;FO716000000698;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000165;21;;FO716000000699;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000166;22;;FO716000000700;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000167;23;;FO716000000701;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000168;24;;FO716000000702;CS716000000018;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000169;1;;FO716000000703;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000170;2;;FO716000000704;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000171;3;;FO716000000705;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000172;4;;FO716000000706;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000173;5;;FO716000000707;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000174;6;;FO716000000708;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000175;7;;FO716000000709;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000176;8;;FO716000000710;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000177;9;;FO716000000711;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000178;10;;FO716000000712;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000179;11;;FO716000000713;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000180;12;;FO716000000714;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000181;13;;FO716000000715;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
PS716000000182;14;;FO716000000716;CS716000000019;TI716000000003;;CO;NC;;;29/08/2022 00:00;;;;
