cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
CB716000000001;71153/USZ/TR 60 1470;"CD71-FTTH-USZ;144FO - TR 60 1470";ND716000000223;ND716000000217;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;49.216;;;29/08/2022 00:00;;;;
CB716000000002;71153/USZ/TR 60 1471;"CD71-FTTH-USZ;144FO - TR 60 1471";ND716000000217;ND716000000010;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;178.608;;;29/08/2022 00:00;;;;
CB716000000003;71153/USZ/TR 60 1472;"CD71-FTTH-USZ;24FO - TR 60 1472";ND716000000010;ND716000000070;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;112.321;;;29/08/2022 00:00;;;;
CB716000000004;71153/USZ/TR 60 1473;"CD71-FTTH-USZ;24FO - TR 60 1473";ND716000000070;ND716000000199;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;11.526;;;29/08/2022 00:00;;;;
CB716000000005;71153/USZ/TR 60 1474;"CD71-FTTH-USZ;24FO - TR 60 1474";ND716000000199;ND716000000068;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;59.804;;;29/08/2022 00:00;;;;
CB716000000006;71153/USZ/TR 60 1574;"CD71-FTTH-USZ;24FO - TR 60 1574";ND716000000068;ND716000000067;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;67.232;;;29/08/2022 00:00;;;;
CB716000000007;71153/USZ/TR 60 1483;"CD71-FTTH-USZ;12FO - TR 60 1483";ND716000000010;ND716000000193;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;190.588;;;29/08/2022 00:00;;;;
CB716000000008;71153/USZ/TR 60 1484;"CD71-FTTH-USZ;12FO - TR 60 1484";ND716000000193;ND716000000194;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;31.787;;;29/08/2022 00:00;;;;
CB716000000009;71153/USZ/TR 60 1475;"CD71-FTTH-USZ;24FO - TR 60 1475";ND716000000010;ND716000000010;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;1.752;;;29/08/2022 00:00;;;;
CB716000000010;71153/USZ/TR 60 1476;"CD71-FTTH-USZ;24FO - TR 60 1476";ND716000000010;ND716000000155;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;55.125;;;29/08/2022 00:00;;;;
CB716000000011;71153/USZ/TR 60 1477;"CD71-FTTH-USZ;24FO - TR 60 1477";ND716000000155;ND716000000107;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;64.990;;;29/08/2022 00:00;;;;
CB716000000012;71153/USZ/TR 60 1478;"CD71-FTTH-USZ;24FO - TR 60 1478";ND716000000107;ND716000000114;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;70.462;;;29/08/2022 00:00;;;;
CB716000000013;71153/USZ/TR 60 1479;"CD71-FTTH-USZ;12FO - TR 60 1479";ND716000000010;ND716000000153;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;39.027;;;29/08/2022 00:00;;;;
CB716000000014;71153/USZ/TR 60 1480;"CD71-FTTH-USZ;12FO - TR 60 1480";ND716000000153;ND716000000198;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;73.646;;;29/08/2022 00:00;;;;
CB716000000015;71153/USZ/TR 60 1481;"CD71-FTTH-USZ;12FO - TR 60 1481";ND716000000010;ND716000000123;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;23.662;;;29/08/2022 00:00;;;;
CB716000000016;71153/USZ/TR 60 1482;"CD71-FTTH-USZ;12FO - TR 60 1482";ND716000000123;ND716000000213;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;8.528;;;29/08/2022 00:00;;;;
CB716000000017;71153/USZ/TR 60 1485;"CD71-FTTH-USZ;24FO - TR 60 1485";ND716000000217;ND716000000007;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;40.437;;;29/08/2022 00:00;;;;
CB716000000018;71153/USZ/TR 60 1486;"CD71-FTTH-USZ;24FO - TR 60 1486";ND716000000007;ND716000000006;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;42.286;;;29/08/2022 00:00;;;;
CB716000000019;71153/USZ/TR 60 1487;"CD71-FTTH-USZ;24FO - TR 60 1487";ND716000000006;ND716000000024;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;54.792;;;29/08/2022 00:00;;;;
CB716000000020;71153/USZ/TR 60 1488;"CD71-FTTH-USZ;24FO - TR 60 1488";ND716000000024;ND716000000031;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000131;24;;;6;;;88.610;;;29/08/2022 00:00;;;;
CB716000000021;71153/USZ/TR 60 1489;"CD71-FTTH-USZ;12FO - TR 60 1489";ND716000000217;ND716000000122;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;87.149;;;29/08/2022 00:00;;;;
CB716000000022;71153/USZ/TR 60 1490;"CD71-FTTH-USZ;12FO - TR 60 1490";ND716000000122;ND716000000201;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000125;12;;;6;;;40.817;;;29/08/2022 00:00;;;;
CB716000000023;71153/USZ/TR 60 1491;"CD71-FTTH-USZ;6FO - TR 60 1491";ND716000000217;ND716000000099;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;35.669;;;29/08/2022 00:00;;;;
CB716000000024;71153/USZ/TR 60 1492;"CD71-FTTH-USZ;6FO - TR 60 1492";ND716000000099;ND716000000096;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000202;6;;;6;;;58.925;;;29/08/2022 00:00;;;;
CB716000000025;71153/USZ/TR 60 1493;"CD71-FTTH-USZ;144FO - TR 60 1493";ND716000000223;ND716000000026;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000128;144;;;6;;;510.577;;;29/08/2022 00:00;;;;
CB716000000026;71153/USZ/TR 60 1494;"CD71-FTTH-USZ;36FO - TR 60 1494";ND716000000026;ND716000000154;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;84.200;;;29/08/2022 00:00;;;;
CB716000000027;71153/USZ/TR 60 1495;"CD71-FTTH-USZ;36FO - TR 60 1495";ND716000000154;ND716000000177;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;72.794;;;29/08/2022 00:00;;;;
CB716000000028;71153/USZ/TR 60 1496;"CD71-FTTH-USZ;36FO - TR 60 1496";ND716000000177;ND716000000178;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;40.581;;;29/08/2022 00:00;;;;
CB716000000029;71153/USZ/TR 60 1497;"CD71-FTTH-USZ;36FO - TR 60 1497";ND716000000178;ND716000000111;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;94.772;;;29/08/2022 00:00;;;;
CB716000000030;71153/USZ/TR 60 1498;"CD71-FTTH-USZ;36FO - TR 60 1498";ND716000000111;ND716000000112;CD71;NRO71153CRI;NRO71153CRI_08;;OR710000000571;OR000000000005;;CST;REC;NC;;23/03/2023;E;OPT;C;DI;RF000000000129;36;;;6;;;89.990;;;29/08/2022 00:00;;;;
