fo_code;fo_code_ext;fo_cb_code;fo_nincab;fo_numtub;fo_nintub;fo_type;fo_etat;fo_color;fo_reper;fo_proptyp;fo_comment;fo_creadat;fo_majdate;fo_majsrc;fo_abddate;fo_abdsrc
FO716000000001;"71153/USZ/TR 60 1470;1;1";CB716000000001;1;1;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000002;"71153/USZ/TR 60 1470;1;2";CB716000000001;2;1;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000003;"71153/USZ/TR 60 1470;1;3";CB716000000001;3;1;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000004;"71153/USZ/TR 60 1470;1;4";CB716000000001;4;1;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000005;"71153/USZ/TR 60 1470;1;5";CB716000000001;5;1;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000006;"71153/USZ/TR 60 1470;1;6";CB716000000001;6;1;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000007;"71153/USZ/TR 60 1470;2;1";CB716000000001;7;2;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000008;"71153/USZ/TR 60 1470;2;2";CB716000000001;8;2;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000009;"71153/USZ/TR 60 1470;2;3";CB716000000001;9;2;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000010;"71153/USZ/TR 60 1470;2;4";CB716000000001;10;2;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000011;"71153/USZ/TR 60 1470;2;5";CB716000000001;11;2;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000012;"71153/USZ/TR 60 1470;2;6";CB716000000001;12;2;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000013;"71153/USZ/TR 60 1470;3;1";CB716000000001;13;3;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000014;"71153/USZ/TR 60 1470;3;2";CB716000000001;14;3;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000015;"71153/USZ/TR 60 1470;3;3";CB716000000001;15;3;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000016;"71153/USZ/TR 60 1470;3;4";CB716000000001;16;3;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000017;"71153/USZ/TR 60 1470;3;5";CB716000000001;17;3;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000018;"71153/USZ/TR 60 1470;3;6";CB716000000001;18;3;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000019;"71153/USZ/TR 60 1470;4;1";CB716000000001;19;4;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000020;"71153/USZ/TR 60 1470;4;2";CB716000000001;20;4;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000021;"71153/USZ/TR 60 1470;4;3";CB716000000001;21;4;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000022;"71153/USZ/TR 60 1470;4;4";CB716000000001;22;4;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000023;"71153/USZ/TR 60 1470;4;5";CB716000000001;23;4;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000024;"71153/USZ/TR 60 1470;4;6";CB716000000001;24;4;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000025;"71153/USZ/TR 60 1470;5;1";CB716000000001;25;5;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000026;"71153/USZ/TR 60 1470;5;2";CB716000000001;26;5;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000027;"71153/USZ/TR 60 1470;5;3";CB716000000001;27;5;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000028;"71153/USZ/TR 60 1470;5;4";CB716000000001;28;5;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000029;"71153/USZ/TR 60 1470;5;5";CB716000000001;29;5;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000030;"71153/USZ/TR 60 1470;5;6";CB716000000001;30;5;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000031;"71153/USZ/TR 60 1470;6;1";CB716000000001;31;6;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000032;"71153/USZ/TR 60 1470;6;2";CB716000000001;32;6;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000033;"71153/USZ/TR 60 1470;6;3";CB716000000001;33;6;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000034;"71153/USZ/TR 60 1470;6;4";CB716000000001;34;6;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000035;"71153/USZ/TR 60 1470;6;5";CB716000000001;35;6;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000036;"71153/USZ/TR 60 1470;6;6";CB716000000001;36;6;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000037;"71153/USZ/TR 60 1470;7;1";CB716000000001;37;7;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000038;"71153/USZ/TR 60 1470;7;2";CB716000000001;38;7;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000039;"71153/USZ/TR 60 1470;7;3";CB716000000001;39;7;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000040;"71153/USZ/TR 60 1470;7;4";CB716000000001;40;7;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000041;"71153/USZ/TR 60 1470;7;5";CB716000000001;41;7;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000042;"71153/USZ/TR 60 1470;7;6";CB716000000001;42;7;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000043;"71153/USZ/TR 60 1470;8;1";CB716000000001;43;8;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000044;"71153/USZ/TR 60 1470;8;2";CB716000000001;44;8;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000045;"71153/USZ/TR 60 1470;8;3";CB716000000001;45;8;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000046;"71153/USZ/TR 60 1470;8;4";CB716000000001;46;8;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000047;"71153/USZ/TR 60 1470;8;5";CB716000000001;47;8;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000048;"71153/USZ/TR 60 1470;8;6";CB716000000001;48;8;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000049;"71153/USZ/TR 60 1470;9;1";CB716000000001;49;9;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000050;"71153/USZ/TR 60 1470;9;2";CB716000000001;50;9;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000051;"71153/USZ/TR 60 1470;9;3";CB716000000001;51;9;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000052;"71153/USZ/TR 60 1470;9;4";CB716000000001;52;9;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000053;"71153/USZ/TR 60 1470;9;5";CB716000000001;53;9;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000054;"71153/USZ/TR 60 1470;9;6";CB716000000001;54;9;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000055;"71153/USZ/TR 60 1470;10;1";CB716000000001;55;10;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000056;"71153/USZ/TR 60 1470;10;2";CB716000000001;56;10;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000057;"71153/USZ/TR 60 1470;10;3";CB716000000001;57;10;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000058;"71153/USZ/TR 60 1470;10;4";CB716000000001;58;10;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000059;"71153/USZ/TR 60 1470;10;5";CB716000000001;59;10;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000060;"71153/USZ/TR 60 1470;10;6";CB716000000001;60;10;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000061;"71153/USZ/TR 60 1470;11;1";CB716000000001;61;11;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000062;"71153/USZ/TR 60 1470;11;2";CB716000000001;62;11;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
FO716000000063;"71153/USZ/TR 60 1470;11;3";CB716000000001;63;11;3;G657A2;NC;3;1.3;CST;;29/08/2022 00:00;;;;
FO716000000064;"71153/USZ/TR 60 1470;11;4";CB716000000001;64;11;4;G657A2;NC;4;1.4;CST;;29/08/2022 00:00;;;;
FO716000000065;"71153/USZ/TR 60 1470;11;5";CB716000000001;65;11;5;G657A2;NC;5;1.5;CST;;29/08/2022 00:00;;;;
FO716000000066;"71153/USZ/TR 60 1470;11;6";CB716000000001;66;11;6;G657A2;NC;6;1.6;CST;;29/08/2022 00:00;;;;
FO716000000067;"71153/USZ/TR 60 1470;12;1";CB716000000001;67;12;1;G657A2;NC;1;1.1;CST;;29/08/2022 00:00;;;;
FO716000000068;"71153/USZ/TR 60 1470;12;2";CB716000000001;68;12;2;G657A2;NC;2;1.2;CST;;29/08/2022 00:00;;;;
