pt_code;pt_codeext;pt_etiquet;pt_nd_code;pt_ad_code;pt_gest_do;pt_prop_do;pt_prop;pt_gest;pt_user;pt_proptyp;pt_statut;pt_etat;pt_dateins;pt_datemes;pt_avct;pt_typephy;pt_typelog;pt_rf_code;pt_nature;pt_secu;pt_occp;pt_a_dan;pt_a_dtetu;pt_a_struc;pt_a_haut;pt_a_passa;pt_a_strat;pt_rotatio;pt_detec;pt_comment;pt_creadat;pt_majdate;pt_majsrc;pt_abddate;pt_abdsrc
PT716000000001;00070/71059;CD71-00070/71059;ND716000000001;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000002;00060/71059;CD71-00060/71059;ND716000000002;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L2T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000003;00108/71059;CD71-00108/71059;ND716000000003;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000004;00098/71059;CD71-00098/71059;ND716000000004;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000005;00072/71059;CD71-00072/71059;ND716000000005;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000006;00362/71059;CD71-00362/71059;ND716000000006;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L2T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000007;00367/71059;CD71-00367/71059;ND716000000007;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L2T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000008;00073/71059;CD71-00073/71059;ND716000000008;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000009;00082/71059;CD71-00082/71059;ND716000000009;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000010;00097/71059;CD71-00097/71059;ND716000000010;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000011;00088/71059;CD71-00088/71059;ND716000000011;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000012;00077/71059;CD71-00077/71059;ND716000000012;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000013;00105/71059;CD71-00105/71059;ND716000000013;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000014;00075/71059;CD71-00075/71059;ND716000000014;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000015;00074/71059;CD71-00074/71059;ND716000000015;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000016;00371/71059;CD71-00371/71059;ND716000000016;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;L1T;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000017;00101/71059;CD71-00101/71059;ND716000000017;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000018;00079/71059;CD71-00079/71059;ND716000000018;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000019;00107/71059;CD71-00107/71059;ND716000000019;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000020;00071/71059;CD71-00071/71059;ND716000000020;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000021;00106/71059;CD71-00106/71059;ND716000000021;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000022;00069/71059;CD71-00069/71059;ND716000000022;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
PT716000000023;00092/71059;CD71-00092/71059;ND716000000023;;;;OR000000000001;OR000000000001;;LOC;REC;NC;;;E;C;I;;IND;f;;;;;;;;;;;29/08/2022 00:00;;;;
