rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
716000000001;RT716000000329;;FO716000000001;1;;2022-08-29 00:00:00;;;;
716000000002;RT716000000329;;FO716000000145;2;;2022-08-29 00:00:00;;;;
716000000003;RT716000000329;;FO716000000289;3;;2022-08-29 00:00:00;;;;
716000000004;RT716000000330;;FO716000000290;1;;2022-08-29 00:00:00;;;;
716000000005;RT716000000330;;FO716000000002;2;;2022-08-29 00:00:00;;;;
716000000006;RT716000000330;;FO716000000146;3;;2022-08-29 00:00:00;;;;
716000000007;RT716000000331;;FO716000000291;1;;2022-08-29 00:00:00;;;;
716000000008;RT716000000331;;FO716000000003;2;;2022-08-29 00:00:00;;;;
716000000009;RT716000000331;;FO716000000147;3;;2022-08-29 00:00:00;;;;
716000000010;RT716000000332;;FO716000000148;1;;2022-08-29 00:00:00;;;;
716000000011;RT716000000332;;FO716000000004;2;;2022-08-29 00:00:00;;;;
716000000012;RT716000000332;;FO716000000292;3;;2022-08-29 00:00:00;;;;
716000000013;RT716000000333;;FO716000000293;1;;2022-08-29 00:00:00;;;;
716000000014;RT716000000333;;FO716000000149;2;;2022-08-29 00:00:00;;;;
716000000015;RT716000000333;;FO716000000005;3;;2022-08-29 00:00:00;;;;
716000000016;RT716000000334;;FO716000000006;1;;2022-08-29 00:00:00;;;;
716000000017;RT716000000334;;FO716000000294;2;;2022-08-29 00:00:00;;;;
716000000018;RT716000000334;;FO716000000150;3;;2022-08-29 00:00:00;;;;
716000000019;RT716000000335;;FO716000000319;1;;2022-08-29 00:00:00;;;;
716000000020;RT716000000335;;FO716000000295;2;;2022-08-29 00:00:00;;;;
716000000021;RT716000000335;;FO716000000151;3;;2022-08-29 00:00:00;;;;
716000000022;RT716000000335;;FO716000000007;4;;2022-08-29 00:00:00;;;;
716000000023;RT716000000336;;FO716000000152;1;;2022-08-29 00:00:00;;;;
716000000024;RT716000000336;;FO716000000008;2;;2022-08-29 00:00:00;;;;
716000000025;RT716000000336;;FO716000000320;3;;2022-08-29 00:00:00;;;;
