sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
SF716000000001;ND716000000224;AD710908000018;ZP716000000022;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000002;ND716000000225;AD710908000020;ZP716000000022;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000003;ND716000000226;AD710908000031;ZP716000000022;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000004;ND716000000227;AD710908000029;ZP716000000023;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000005;ND716000000228;AD710908000024;ZP716000000021;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000006;ND716000000229;AD710908000026;ZP716000000021;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000007;ND716000000230;AD710908000027;ZP716000000021;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000008;ND716000000231;AD710908000017;ZP716000000022;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000009;ND716000000232;AD710908000033;ZP716000000019;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000010;ND716000000233;AD710908000023;ZP716000000020;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000011;ND716000000234;AD710908000030;ZP716000000020;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000012;ND716000000235;AD710908000022;ZP716000000021;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000013;ND716000000236;AD710908000019;ZP716000000019;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000014;ND716000000237;AD710908000025;ZP716000000019;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000015;ND716000000238;AD710908000028;ZP716000000019;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000016;ND716000000239;AD710908000032;ZP716000000019;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000017;ND716000000240;AD710908000082;ZP716000000025;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000018;ND716000000241;AD710908000078;ZP716000000026;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000019;ND716000000242;AD710908000081;ZP716000000026;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000020;ND716000000242;AD710908000081;ZP716000000026;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000021;ND716000000243;AD710908000332;ZP716000000026;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000022;ND716000000244;AD710908000074;ZP716000000025;;;;R;;;;RB;;29/08/2022 00:00;;;;
SF716000000023;ND716000000245;AD710908000076;ZP716000000025;;;;R;;;;RB;;29/08/2022 00:00;;;;
