cb_code;cb_bp1;cb_ba1;cb_bp2;cb_ba2
CB716000000001;;BA716000000002;BP716000000098;
CB716000000002;BP716000000098;;BP716000000099;
CB716000000003;BP716000000099;;BP716000000014;
CB716000000004;BP716000000014;;BP716000000015;
CB716000000005;BP716000000015;;BP716000000012;
CB716000000006;BP716000000012;;BP716000000013;
CB716000000007;BP716000000099;;BP716000000016;
CB716000000008;BP716000000016;;BP716000000017;
CB716000000009;BP716000000099;;BP716000000006;
CB716000000010;BP716000000006;;BP716000000007;
CB716000000011;BP716000000007;;BP716000000008;
CB716000000012;BP716000000008;;BP716000000009;
CB716000000013;BP716000000099;;BP716000000010;
CB716000000014;BP716000000010;;BP716000000011;
CB716000000015;BP716000000099;;BP716000000004;
CB716000000016;BP716000000004;;BP716000000005;
CB716000000017;BP716000000098;;BP716000000095;
CB716000000018;BP716000000095;;BP716000000096;
CB716000000019;BP716000000096;;BP716000000097;
CB716000000020;BP716000000097;;BP716000000001;
CB716000000021;BP716000000098;;BP716000000002;
CB716000000022;BP716000000002;;BP716000000003;
CB716000000023;BP716000000098;;BP716000000020;
CB716000000024;BP716000000020;;BP716000000018;
CB716000000025;;BA716000000002;BP716000000100;
CB716000000026;BP716000000100;;BP716000000076;
CB716000000027;BP716000000076;;BP716000000077;
CB716000000028;BP716000000077;;BP716000000080;
CB716000000029;BP716000000080;;BP716000000082;
CB716000000030;BP716000000082;;BP716000000083;
CB716000000031;BP716000000083;;BP716000000085;
CB716000000032;BP716000000100;;BP716000000078;
CB716000000033;BP716000000078;;BP716000000079;
CB716000000034;BP716000000100;;BP716000000081;
CB716000000035;BP716000000081;;BP716000000084;
CB716000000036;BP716000000100;;BP716000000060;
CB716000000037;BP716000000060;;BP716000000066;
CB716000000038;BP716000000066;;BP716000000067;
CB716000000039;BP716000000067;;BP716000000061;
CB716000000040;BP716000000100;;BP716000000056;
CB716000000041;BP716000000056;;BP716000000055;
CB716000000042;BP716000000100;;BP716000000057;
CB716000000043;BP716000000100;;BP716000000058;
CB716000000044;BP716000000100;;BP716000000062;
CB716000000045;BP716000000100;;BP716000000059;
CB716000000046;;BA716000000002;BP716000000101;
CB716000000047;BP716000000101;;BP716000000102;
CB716000000048;BP716000000102;;BP716000000036;
CB716000000049;BP716000000036;;BP716000000044;
CB716000000050;BP716000000044;;BP716000000046;
CB716000000051;BP716000000046;;BP716000000048;
CB716000000052;BP716000000102;;BP716000000045;
CB716000000053;BP716000000045;;BP716000000047;
CB716000000054;BP716000000047;;BP716000000049;
CB716000000055;BP716000000102;;BP716000000037;
CB716000000056;BP716000000037;;BP716000000038;
CB716000000057;BP716000000101;;BP716000000041;
CB716000000058;BP716000000041;;BP716000000042;
CB716000000059;BP716000000042;;BP716000000043;
CB716000000060;BP716000000101;;BP716000000026;
CB716000000061;BP716000000026;;BP716000000027;
CB716000000062;BP716000000027;;BP716000000030;
CB716000000063;BP716000000030;;BP716000000029;
CB716000000064;BP716000000101;;BP716000000040;
CB716000000065;BP716000000040;;BP716000000039;
CB716000000066;BP716000000101;;BP716000000025;
CB716000000067;BP716000000025;;BP716000000028;
CB716000000068;BP716000000101;;BP716000000034;
CB716000000069;BP716000000034;;BP716000000035;
CB716000000070;BP716000000101;;BP716000000033;
CB716000000071;BP716000000101;;BP716000000032;
CB716000000072;BP716000000101;;BP716000000031;
CB716000000073;;BA716000000002;BP716000000104;
CB716000000074;BP716000000104;;BP716000000105;
CB716000000075;BP716000000105;;BP716000000064;
CB716000000076;BP716000000064;;BP716000000072;
CB716000000077;BP716000000072;;BP716000000071;
CB716000000078;BP716000000071;;BP716000000073;
CB716000000079;BP716000000073;;BP716000000074;
CB716000000080;BP716000000074;;BP716000000075;
CB716000000081;BP716000000105;;BP716000000068;
CB716000000082;BP716000000068;;BP716000000065;
CB716000000083;BP716000000065;;BP716000000069;
CB716000000084;BP716000000069;;BP716000000070;
CB716000000085;BP716000000105;;BP716000000063;
CB716000000086;BP716000000105;;BP716000000054;
CB716000000087;BP716000000054;;BP716000000052;
CB716000000088;BP716000000105;;BP716000000053;
CB716000000089;BP716000000104;;BP716000000022;
CB716000000090;BP716000000022;;BP716000000021;
CB716000000091;BP716000000021;;BP716000000019;
CB716000000092;BP716000000104;;BP716000000023;
CB716000000093;BP716000000104;;BP716000000024;
CB716000000094;BP716000000104;;BP716000000051;
CB716000000095;BP716000000104;;BP716000000050;
CB716000000096;;BA716000000002;BP716000000103;
CB716000000097;BP716000000103;;BP716000000086;
CB716000000098;BP716000000086;;BP716000000088;
CB716000000099;BP716000000088;;BP716000000087;
CB716000000100;BP716000000088;;BP716000000093;
CB716000000101;BP716000000093;;BP716000000089;
CB716000000102;BP716000000089;;BP716000000090;
CB716000000103;BP716000000090;;BP716000000091;
CB716000000104;BP716000000091;;BP716000000092;
CB716000000105;BP716000000103;;BP716000000094;
