cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
CS716000000001;24;;1;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000002;24;;2;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000003;24;;3;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000004;24;;4;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000005;24;;5;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000006;24;;6;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000007;24;;7;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000008;24;;8;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000009;24;;9;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000010;24;;10;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000011;24;;11;;;RF000000000188;TI716000000001;29/08/2022 00:00;;;;
CS716000000012;24;;1;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000013;24;;2;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000014;24;;3;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000015;24;;4;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000016;24;;5;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000017;24;;6;;;RF000000000188;TI716000000002;29/08/2022 00:00;;;;
CS716000000018;24;;1;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000019;24;;2;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000020;24;;3;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000021;24;;4;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000022;24;;5;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000023;24;;6;;;RF000000000188;TI716000000003;29/08/2022 00:00;;;;
CS716000000024;24;;1;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000025;24;;2;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000026;24;;3;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000027;24;;4;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000028;24;;5;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000029;24;;6;;;RF000000000188;TI716000000004;29/08/2022 00:00;;;;
CS716000000030;24;;1;;;RF000000000188;TI716000000005;29/08/2022 00:00;;;;
CS716000000031;24;;2;;;RF000000000188;TI716000000005;29/08/2022 00:00;;;;
CS716000000032;24;;3;;;RF000000000188;TI716000000005;29/08/2022 00:00;;;;
CS716000000033;24;;4;;;RF000000000188;TI716000000005;29/08/2022 00:00;;;;
CS716000000034;24;;5;;;RF000000000188;TI716000000005;29/08/2022 00:00;;;;
CS716000000035;12;BP716000000098;1;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000036;12;BP716000000098;2;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000037;12;BP716000000098;3;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000038;12;BP716000000098;4;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000039;12;BP716000000098;5;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000040;12;BP716000000098;6;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000041;12;BP716000000098;7;;;RF000000000191;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000042;0;BP716000000098;0;;;RF000000000297;71153/USZ/PT 601470;29/08/2022 00:00;;;;
CS716000000056;12;BP716000000099;1;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000057;12;BP716000000099;2;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000058;12;BP716000000099;3;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000059;12;BP716000000099;4;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000060;12;BP716000000099;5;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000061;12;BP716000000099;6;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000062;12;BP716000000099;7;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000063;12;BP716000000099;8;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000064;12;BP716000000099;9;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000065;12;BP716000000099;10;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000066;12;BP716000000099;11;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000067;12;BP716000000099;12;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000068;12;BP716000000099;13;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000069;12;BP716000000099;14;;;RF000000000191;71153/USZ/PT 601471;29/08/2022 00:00;;;;
CS716000000070;12;BP716000000014;1;;;RF000000000191;71153/USZ/PT 601472;29/08/2022 00:00;;;;
