cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
CD716000000031;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000032;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000033;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000034;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000035;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000036;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000037;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000038;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000039;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000040;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000041;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000042;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000043;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000044;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000045;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000046;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000047;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000048;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000049;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000050;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000051;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000052;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000053;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000054;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000055;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000056;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000057;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
CD716000000058;;;;;;;;OR000000000001;;;;REC;;;;;E;NC;;;;;;;;29/08/2022 00:00;;;;
