bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_lt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
BP716000000098;"CD71 ; BPE - PT 601470USZ";71153/USZ/PT 601470;PT716000000217;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B144;BPE;RF000000000024;;;7;;;;;;29/08/2022 00:00;;;;
BP716000000099;"CD71 ; BPE - PT 601471USZ";71153/USZ/PT 601471;PT716000000010;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B144;BPE;RF000000000024;;;14;;;;;;29/08/2022 00:00;;;;
BP716000000014;"CD71 ; PBO - PT 601472USZ";71153/USZ/PT 601472;PT716000000070;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000015;"CD71 ; PBO - PT 601473USZ";71153/USZ/PT 601473;PT716000000199;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000012;"CD71 ; PBO - PT 601474USZ";71153/USZ/PT 601474;PT716000000068;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000006;"CD71 ; PBO - PT 601475USZ";71153/USZ/PT 601475;PT716000000010;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000007;"CD71 ; PBO - PT 601476USZ";71153/USZ/PT 601476;PT716000000155;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000008;"CD71 ; PBO - PT 601477USZ";71153/USZ/PT 601477;PT716000000107;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000009;"CD71 ; PBO - PT 601478USZ";71153/USZ/PT 601478;PT716000000114;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
BP716000000010;"CD71 ; PBO - PT 601479USZ";71153/USZ/PT 601479;PT716000000153;;;OR710000000571;OR000000000005;;CST;REC;OK;1.1;;E;B006;PBO;RF000000000017;;;1;;;;;;29/08/2022 00:00;;;;
