lv_id;lv_cb_code;lv_nd_code;lv_long;lv_creadat;lv_majdate;lv_majsrc;lv_abddate;lv_abdsrc
1;CB716000000001;ND716000000217;15;28/07/2023 00:00;;;;
2;CB716000000002;ND716000000217;15;28/07/2023 00:00;;;;
3;CB716000000002;ND716000000010;15;28/07/2023 00:00;;;;
4;CB716000000003;ND716000000010;15;28/07/2023 00:00;;;;
5;CB716000000003;ND716000000070;5;28/07/2023 00:00;;;;
6;CB716000000004;ND716000000070;5;28/07/2023 00:00;;;;
7;CB716000000004;ND716000000199;5;28/07/2023 00:00;;;;
8;CB716000000005;ND716000000199;5;28/07/2023 00:00;;;;
9;CB716000000005;ND716000000068;5;28/07/2023 00:00;;;;
10;CB716000000006;ND716000000068;5;28/07/2023 00:00;;;;
11;CB716000000006;ND716000000067;5;28/07/2023 00:00;;;;
12;CB716000000007;ND716000000010;15;28/07/2023 00:00;;;;
13;CB716000000007;ND716000000193;5;28/07/2023 00:00;;;;
14;CB716000000008;ND716000000193;5;28/07/2023 00:00;;;;
15;CB716000000008;ND716000000194;5;28/07/2023 00:00;;;;
16;CB716000000009;ND716000000010;15;28/07/2023 00:00;;;;
17;CB716000000010;ND716000000010;15;28/07/2023 00:00;;;;
18;CB716000000010;ND716000000155;5;28/07/2023 00:00;;;;
19;CB716000000011;ND716000000155;5;28/07/2023 00:00;;;;
20;CB716000000011;ND716000000107;5;28/07/2023 00:00;;;;
21;CB716000000012;ND716000000107;5;28/07/2023 00:00;;;;
22;CB716000000012;ND716000000114;5;28/07/2023 00:00;;;;
23;CB716000000013;ND716000000010;15;28/07/2023 00:00;;;;
24;CB716000000013;ND716000000153;5;28/07/2023 00:00;;;;
25;CB716000000014;ND716000000153;5;28/07/2023 00:00;;;;
26;CB716000000014;ND716000000198;5;28/07/2023 00:00;;;;
27;CB716000000015;ND716000000010;15;28/07/2023 00:00;;;;
28;CB716000000015;ND716000000123;5;28/07/2023 00:00;;;;
29;CB716000000016;ND716000000123;5;28/07/2023 00:00;;;;
30;CB716000000016;ND716000000213;5;28/07/2023 00:00;;;;
31;CB716000000017;ND716000000217;15;28/07/2023 00:00;;;;
32;CB716000000017;ND716000000007;15;28/07/2023 00:00;;;;
33;CB716000000018;ND716000000007;15;28/07/2023 00:00;;;;
34;CB716000000018;ND716000000006;15;28/07/2023 00:00;;;;
35;CB716000000019;ND716000000006;15;28/07/2023 00:00;;;;
36;CB716000000019;ND716000000024;15;28/07/2023 00:00;;;;
37;CB716000000020;ND716000000024;15;28/07/2023 00:00;;;;
38;CB716000000020;ND716000000031;15;28/07/2023 00:00;;;;
39;CB716000000021;ND716000000217;15;28/07/2023 00:00;;;;
40;CB716000000021;ND716000000122;5;28/07/2023 00:00;;;;
41;CB716000000022;ND716000000122;5;28/07/2023 00:00;;;;
42;CB716000000022;ND716000000201;5;28/07/2023 00:00;;;;
43;CB716000000023;ND716000000217;15;28/07/2023 00:00;;;;
44;CB716000000023;ND716000000099;5;28/07/2023 00:00;;;;
45;CB716000000024;ND716000000099;5;28/07/2023 00:00;;;;
46;CB716000000024;ND716000000096;5;28/07/2023 00:00;;;;
47;CB716000000025;ND716000000026;15;28/07/2023 00:00;;;;
48;CB716000000026;ND716000000026;15;28/07/2023 00:00;;;;
49;CB716000000026;ND716000000154;5;28/07/2023 00:00;;;;
50;CB716000000027;ND716000000154;5;28/07/2023 00:00;;;;
51;CB716000000027;ND716000000177;5;28/07/2023 00:00;;;;
52;CB716000000028;ND716000000177;5;28/07/2023 00:00;;;;
53;CB716000000028;ND716000000178;5;28/07/2023 00:00;;;;
54;CB716000000029;ND716000000178;5;28/07/2023 00:00;;;;
55;CB716000000029;ND716000000111;5;28/07/2023 00:00;;;;
56;CB716000000030;ND716000000111;5;28/07/2023 00:00;;;;
57;CB716000000030;ND716000000112;5;28/07/2023 00:00;;;;
58;CB716000000031;ND716000000112;5;28/07/2023 00:00;;;;
59;CB716000000031;ND716000000202;5;28/07/2023 00:00;;;;
60;CB716000000032;ND716000000026;15;28/07/2023 00:00;;;;
61;CB716000000032;ND716000000132;5;28/07/2023 00:00;;;;
62;CB716000000033;ND716000000132;5;28/07/2023 00:00;;;;
63;CB716000000033;ND716000000133;5;28/07/2023 00:00;;;;
64;CB716000000034;ND716000000026;15;28/07/2023 00:00;;;;
65;CB716000000034;ND716000000174;5;28/07/2023 00:00;;;;
66;CB716000000035;ND716000000174;5;28/07/2023 00:00;;;;
67;CB716000000035;ND716000000172;5;28/07/2023 00:00;;;;
68;CB716000000036;ND716000000026;15;28/07/2023 00:00;;;;
69;CB716000000036;ND716000000021;15;28/07/2023 00:00;;;;
70;CB716000000037;ND716000000021;15;28/07/2023 00:00;;;;
71;CB716000000037;ND716000000109;5;28/07/2023 00:00;;;;
72;CB716000000038;ND716000000109;5;28/07/2023 00:00;;;;
73;CB716000000038;ND716000000145;5;28/07/2023 00:00;;;;
74;CB716000000039;ND716000000145;5;28/07/2023 00:00;;;;
75;CB716000000039;ND716000000203;5;28/07/2023 00:00;;;;
76;CB716000000040;ND716000000026;15;28/07/2023 00:00;;;;
77;CB716000000040;ND716000000115;5;28/07/2023 00:00;;;;
78;CB716000000041;ND716000000115;5;28/07/2023 00:00;;;;
79;CB716000000041;ND716000000207;5;28/07/2023 00:00;;;;
80;CB716000000042;ND716000000026;15;28/07/2023 00:00;;;;
81;CB716000000042;ND716000000105;5;28/07/2023 00:00;;;;
82;CB716000000043;ND716000000026;15;28/07/2023 00:00;;;;
83;CB716000000043;ND716000000118;5;28/07/2023 00:00;;;;
84;CB716000000044;ND716000000026;15;28/07/2023 00:00;;;;
85;CB716000000044;ND716000000063;5;28/07/2023 00:00;;;;
86;CB716000000045;ND716000000026;15;28/07/2023 00:00;;;;
87;CB716000000045;ND716000000100;5;28/07/2023 00:00;;;;
88;CB716000000046;ND716000000005;15;28/07/2023 00:00;;;;
89;CB716000000047;ND716000000005;15;28/07/2023 00:00;;;;
90;CB716000000047;ND716000000033;15;28/07/2023 00:00;;;;
91;CB716000000048;ND716000000033;15;28/07/2023 00:00;;;;
92;CB716000000049;ND716000000033;15;28/07/2023 00:00;;;;
93;CB716000000049;ND716000000097;5;28/07/2023 00:00;;;;
94;CB716000000050;ND716000000097;5;28/07/2023 00:00;;;;
95;CB716000000050;ND716000000098;5;28/07/2023 00:00;;;;
96;CB716000000051;ND716000000098;5;28/07/2023 00:00;;;;
97;CB716000000051;ND716000000125;5;28/07/2023 00:00;;;;
98;CB716000000052;ND716000000033;15;28/07/2023 00:00;;;;
99;CB716000000052;ND716000000184;5;28/07/2023 00:00;;;;
100;CB716000000053;ND716000000184;5;28/07/2023 00:00;;;;
101;CB716000000053;ND716000000185;5;28/07/2023 00:00;;;;
102;CB716000000054;ND716000000185;5;28/07/2023 00:00;;;;
103;CB716000000054;ND716000000187;5;28/07/2023 00:00;;;;
104;CB716000000055;ND716000000033;15;28/07/2023 00:00;;;;
105;CB716000000055;ND716000000113;5;28/07/2023 00:00;;;;
106;CB716000000056;ND716000000113;5;28/07/2023 00:00;;;;
107;CB716000000056;ND716000000183;5;28/07/2023 00:00;;;;
108;CB716000000057;ND716000000005;15;28/07/2023 00:00;;;;
109;CB716000000057;ND716000000190;5;28/07/2023 00:00;;;;
110;CB716000000058;ND716000000190;5;28/07/2023 00:00;;;;
111;CB716000000058;ND716000000189;5;28/07/2023 00:00;;;;
112;CB716000000059;ND716000000189;5;28/07/2023 00:00;;;;
113;CB716000000059;ND716000000188;5;28/07/2023 00:00;;;;
114;CB716000000060;ND716000000005;15;28/07/2023 00:00;;;;
115;CB716000000060;ND716000000166;5;28/07/2023 00:00;;;;
116;CB716000000061;ND716000000166;5;28/07/2023 00:00;;;;
117;CB716000000061;ND716000000165;5;28/07/2023 00:00;;;;
118;CB716000000062;ND716000000165;5;28/07/2023 00:00;;;;
119;CB716000000062;ND716000000164;5;28/07/2023 00:00;;;;
120;CB716000000063;ND716000000164;5;28/07/2023 00:00;;;;
121;CB716000000063;ND716000000163;5;28/07/2023 00:00;;;;
122;CB716000000064;ND716000000005;15;28/07/2023 00:00;;;;
123;CB716000000064;ND716000000064;5;28/07/2023 00:00;;;;
124;CB716000000065;ND716000000064;5;28/07/2023 00:00;;;;
125;CB716000000065;ND716000000106;5;28/07/2023 00:00;;;;
126;CB716000000066;ND716000000005;15;28/07/2023 00:00;;;;
127;CB716000000066;ND716000000103;5;28/07/2023 00:00;;;;
128;CB716000000067;ND716000000103;5;28/07/2023 00:00;;;;
129;CB716000000067;ND716000000128;5;28/07/2023 00:00;;;;
130;CB716000000068;ND716000000005;15;28/07/2023 00:00;;;;
131;CB716000000068;ND716000000180;5;28/07/2023 00:00;;;;
132;CB716000000069;ND716000000180;5;28/07/2023 00:00;;;;
133;CB716000000069;ND716000000181;5;28/07/2023 00:00;;;;
134;CB716000000070;ND716000000005;15;28/07/2023 00:00;;;;
135;CB716000000070;ND716000000200;5;28/07/2023 00:00;;;;
136;CB716000000071;ND716000000005;15;28/07/2023 00:00;;;;
137;CB716000000071;ND716000000205;5;28/07/2023 00:00;;;;
138;CB716000000072;ND716000000005;15;28/07/2023 00:00;;;;
139;CB716000000072;ND716000000018;15;28/07/2023 00:00;;;;
140;CB716000000073;ND716000000008;15;28/07/2023 00:00;;;;
141;CB716000000074;ND716000000008;15;28/07/2023 00:00;;;;
142;CB716000000074;ND716000000035;15;28/07/2023 00:00;;;;
143;CB716000000075;ND716000000035;15;28/07/2023 00:00;;;;
144;CB716000000075;ND716000000157;5;28/07/2023 00:00;;;;
145;CB716000000076;ND716000000157;5;28/07/2023 00:00;;;;
146;CB716000000076;ND716000000042;5;28/07/2023 00:00;;;;
147;CB716000000077;ND716000000042;5;28/07/2023 00:00;;;;
148;CB716000000077;ND716000000089;5;28/07/2023 00:00;;;;
149;CB716000000078;ND716000000089;5;28/07/2023 00:00;;;;
150;CB716000000078;ND716000000170;5;28/07/2023 00:00;;;;
151;CB716000000079;ND716000000170;5;28/07/2023 00:00;;;;
152;CB716000000079;ND716000000088;5;28/07/2023 00:00;;;;
153;CB716000000080;ND716000000088;5;28/07/2023 00:00;;;;
154;CB716000000080;ND716000000169;5;28/07/2023 00:00;;;;
155;CB716000000081;ND716000000035;15;28/07/2023 00:00;;;;
156;CB716000000081;ND716000000156;5;28/07/2023 00:00;;;;
157;CB716000000082;ND716000000156;5;28/07/2023 00:00;;;;
158;CB716000000082;ND716000000086;5;28/07/2023 00:00;;;;
