rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF000000000001;BA;OR000000000108;AFFERMAGE - PM mono - PM Double Baie - 4 POB 144 - 576 EL;A;IDEA OPTICAL iBER 1635 - 2x28U - 8 slots;2019-01-25 00:00:00;;;;
RF000000000002;BA;OR000000000123;AFFERMAGE - PM mono - PM Double Baie - 4 POB 144 - 576 EL;A;GROLLEAU PM 360 - 2x28U - 8 slots;2019-01-25 00:00:00;;;;
RF000000000003;BA;OR000000000108;AFFERMAGE - PM mono - PM Double Baie - 8 POB 144 - 1152 EL;A;IDEA OPTICAL iBER 1650 - 2x40U - 13 slots;2019-01-25 00:00:00;;;;
RF000000000004;BP;OR000000000100;AFFERMAGE - PEO T2 144;A;3M BPEO-T1,5;2019-01-25 00:00:00;;;;
RF000000000005;BP;OR000000000100;AFFERMAGE - PBO 8-16;A;Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL CDP 12 PAS;2019-01-25 00:00:00;2019-03-07 00:00:00;;2019-03-07;
RF000000000006;BP;OR000000000100;AFFERMAGE - PBO 8-16;A;Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EDP 12 PAS;2019-01-25 00:00:00;2019-03-07 00:00:00;;2019-03-07;
RF000000000007;BP;OR000000000100;AFFERMAGE - PBO 8-16;A;Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EOC 12 PAS;2019-01-25 00:00:00;2019-03-07 00:00:00;;2019-03-07;
RF000000000008;BP;OR000000000100;AFFERMAGE - PBO 8-16;A;Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL FDP 12 PAS;2019-01-25 00:00:00;2019-03-07 00:00:00;;2019-03-07;
RF000000000009;BP;OR000000000100;AFFERMAGE - PB 3M Souterrain Mono Multi 4 cassettes;A;BOITE DE PROTECTION D'EPISSURES - BPE/O - 0;2019-01-25 00:00:00;;;;
RF000000000010;BP;OR000000000103;AFFERMAGE - PEO T3 288;A;TYCO FIST-GCO2-FR6;2019-01-25 00:00:00;;;;
RF000000000011;BP;OR000000000103;AFFERMAGE - PEO 720 FO;A;TYCO FIST-GCO2-BC-432;2019-01-25 00:00:00;;;2021-06-03;
RF000000000012;BP;OR000000000103;AFFERMAGE - PEO T2 144;A;TYCO TENIO T1 144;2019-01-25 00:00:00;;;;
RF000000000013;BP;OR000000000111;AFFERMAGE - PB Nexans Black Box;A;BLACK-BOX_PLATEAU_M12;2019-01-25 00:00:00;;;;
RF000000000014;BP;OR000000000111;AFFERMAGE - PB Nexans Black Box;A;BLACK-BOX_STANDARD_M12;2019-01-25 00:00:00;;;;
RF000000000015;BP;OR000000000111;AFFERMAGE - PB Nexans Black Box;A;BLACK-BOX_STANDARD_M36;2019-01-25 00:00:00;;;;
RF000000000016;BP;OR000000000111;AFFERMAGE - PBO 8-16;A;Utiliser AFFERMAGE - PBO 8-16-24-32 - NEXANS VERTHOR;2019-01-25 00:00:00;2019-03-07 00:00:00;;2019-03-07;
RF000000000017;BP;OR000000000120;AFFERMAGE - PBO 6-12-24-48;A;B006 - BPE 6FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000018;BP;OR000000000120;AFFERMAGE - PBO 6-12-24-48;A;B012 - BPE 12FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000019;BP;OR000000000120;AFFERMAGE - PBO 6-12-24-48;A;B024 - BPE 24FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000020;BP;OR000000000120;AFFERMAGE - PEO 36 FO;A;B036 - BPE 36FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000021;BP;OR000000000120;AFFERMAGE - PBO 6-12-24-48;A;B048 - BPE 48FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000022;BP;OR000000000120;AFFERMAGE - PEO T2 144;A;B072 - BPE 72FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000023;BP;OR000000000120;AFFERMAGE - PEO T2 144;A;B096 - BPE 96FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000024;BP;OR000000000120;AFFERMAGE - PEO T2 144;A;B144 - BPE 144FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000025;BP;OR000000000120;AFFERMAGE - PEO T3 288;A;B288 - BPE 288FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000026;BP;OR000000000120;AFFERMAGE - PEO 720 FO;A;B432 - BPE 432FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000027;BP;OR000000000120;AFFERMAGE - PEO 720 FO;A;B576 - BPE 576FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000028;BP;OR000000000120;AFFERMAGE - PEO 720 FO;A;B720 - BPE 720FO - interdit en REC;2019-01-25 00:00:00;;;;
RF000000000029;CA;OR000000000101;AFFERMAGE - câble 144 FO modulo 12 - sout;A;ACOME - AFFERMAGE - câble 144 FO modulo 12 - sout;2019-01-25 00:00:00;;;;
RF000000000030;CA;OR000000000101;AFFERMAGE - câble 12 FO modulo 6 - sout;A;ACOME - AFFERMAGE - câble 12 FO modulo 6 - sout;2019-01-25 00:00:00;;;;
RF000000000031;CA;OR000000000101;AFFERMAGE - câble 72 FO modulo 12 - sout;A;ACOME - AFFERMAGE - câble 72 FO modulo 12 - sout;2019-01-25 00:00:00;;;;
RF000000000032;CA;OR000000000101;AFFERMAGE - câble 12 FO modulo 6 - mixte;A;ACOME - AFFERMAGE - câble 12 FO modulo 6 - mixte;2019-01-25 00:00:00;;;;
RF000000000033;CA;OR000000000101;AFFERMAGE - câble 12 FO modulo 6 - imb;A;ACOME - AFFERMAGE - câble 12 FO modulo 6 - imb;2019-01-25 00:00:00;;;;
RF000000000034;CA;OR000000000101;AFFERMAGE - câble 144 FO modulo 12 - imb;A;ACOME - AFFERMAGE - câble 144 FO modulo 12 - imb;2019-01-25 00:00:00;;;;
RF000000000035;CA;OR000000000101;AFFERMAGE - câble 144 FO modulo 6 - imb;A;ACOME - AFFERMAGE - câble 144 FO modulo 6 - imb;2019-01-25 00:00:00;;;;
RF000000000036;CA;OR000000000101;AFFERMAGE - câble 144 FO modulo 6 - mixte;A;ACOME - AFFERMAGE - câble 144 FO modulo 6 - mixte;2019-01-25 00:00:00;;;;
RF000000000037;CA;OR000000000101;AFFERMAGE - câble 144 FO modulo 6 - sout;A;ACOME - AFFERMAGE - câble 144 FO modulo 6 - sout;2019-01-25 00:00:00;;;;
RF000000000038;CA;OR000000000101;AFFERMAGE - câble 24 FO modulo 6 - imb;A;ACOME - AFFERMAGE - câble 24 FO modulo 6 - imb;2019-01-25 00:00:00;;;;
RF000000000039;CA;OR000000000101;AFFERMAGE - câble 24 FO modulo 6 - mixte;A;ACOME - AFFERMAGE - câble 24 FO modulo 6 - mixte;2019-01-25 00:00:00;;;;
RF000000000040;CA;OR000000000101;AFFERMAGE - câble 24 FO modulo 6 - sout;A;ACOME - AFFERMAGE - câble 24 FO modulo 6 - sout;2019-01-25 00:00:00;;;;
RF000000000041;CA;OR000000000101;AFFERMAGE - câble 288 FO modulo 12 - imb;A;ACOME - AFFERMAGE - câble 288 FO modulo 12 - imb;2019-01-25 00:00:00;;;;
RF000000000042;CA;OR000000000101;AFFERMAGE - câble 288 FO modulo 12 - sout;A;ACOME - AFFERMAGE - câble 288 FO modulo 12 - sout;2019-01-25 00:00:00;;;;
RF000000000043;CA;OR000000000101;AFFERMAGE - câble 432 FO modulo 12 - imb;A;ACOME - AFFERMAGE - câble 432 FO modulo 12 - imb;2019-01-25 00:00:00;;;;
RF000000000044;CA;OR000000000101;AFFERMAGE - câble 432 FO modulo 12 - sout;A;ACOME - AFFERMAGE - câble 432 FO modulo 12 - sout;2019-01-25 00:00:00;;;;
RF000000000045;CA;OR000000000101;AFFERMAGE - câble 48 FO modulo 6 - imb;A;ACOME - AFFERMAGE - câble 48 FO modulo 6 - imb;2019-01-25 00:00:00;;;;
RF000000000046;CA;OR000000000101;AFFERMAGE - câble 48 FO modulo 6 - mixte;A;ACOME - AFFERMAGE - câble 48 FO modulo 6 - mixte;2019-01-25 00:00:00;;;;
