zp_code;zp_bp_code
ZP716000000001;BP716000000001
ZP716000000002;BP716000000002
ZP716000000003;BP716000000003
ZP716000000004;BP716000000004
ZP716000000005;BP716000000005
ZP716000000006;BP716000000006
ZP716000000007;BP716000000007
ZP716000000008;BP716000000008
ZP716000000009;BP716000000009
ZP716000000010;BP716000000010
ZP716000000011;BP716000000011
ZP716000000012;BP716000000012
ZP716000000013;BP716000000013
ZP716000000014;BP716000000014
ZP716000000015;BP716000000015
ZP716000000016;BP716000000016
ZP716000000017;BP716000000017
ZP716000000018;BP716000000018
ZP716000000019;BP716000000019
ZP716000000020;BP716000000020
ZP716000000021;BP716000000021
ZP716000000022;BP716000000022
ZP716000000023;BP716000000023
ZP716000000024;BP716000000024
ZP716000000025;BP716000000025
ZP716000000026;BP716000000026
ZP716000000027;BP716000000027
ZP716000000028;BP716000000028
ZP716000000029;BP716000000029
ZP716000000030;BP716000000030
ZP716000000031;BP716000000031
ZP716000000032;BP716000000032
ZP716000000033;BP716000000033
ZP716000000034;BP716000000034
ZP716000000035;BP716000000035
ZP716000000036;BP716000000036
ZP716000000037;BP716000000037
ZP716000000038;BP716000000038
ZP716000000039;BP716000000039
ZP716000000040;BP716000000040
ZP716000000041;BP716000000041
ZP716000000042;BP716000000042
ZP716000000043;BP716000000043
ZP716000000044;BP716000000044
ZP716000000045;BP716000000045
ZP716000000046;BP716000000046
ZP716000000047;BP716000000047
ZP716000000048;BP716000000048
ZP716000000049;BP716000000049
ZP716000000050;BP716000000050
ZP716000000051;BP716000000051
ZP716000000052;BP716000000052
ZP716000000053;BP716000000053
ZP716000000054;BP716000000054
ZP716000000055;BP716000000055
ZP716000000056;BP716000000056
ZP716000000057;BP716000000057
ZP716000000058;BP716000000058
ZP716000000059;BP716000000059
ZP716000000060;BP716000000060
ZP716000000061;BP716000000061
ZP716000000062;BP716000000062
ZP716000000063;BP716000000063
ZP716000000064;BP716000000064
ZP716000000065;BP716000000065
ZP716000000066;BP716000000066
ZP716000000067;BP716000000067
ZP716000000068;BP716000000068
ZP716000000069;BP716000000069
ZP716000000070;BP716000000070
ZP716000000071;BP716000000071
ZP716000000072;BP716000000072
ZP716000000073;BP716000000073
ZP716000000074;BP716000000074
ZP716000000075;BP716000000075
ZP716000000076;BP716000000076
ZP716000000077;BP716000000077
ZP716000000078;BP716000000078
ZP716000000079;BP716000000079
ZP716000000080;BP716000000080
ZP716000000081;BP716000000081
ZP716000000082;BP716000000082
ZP716000000083;BP716000000083
ZP716000000084;BP716000000084
ZP716000000085;BP716000000085
ZP716000000086;BP716000000086
ZP716000000087;BP716000000087
ZP716000000088;BP716000000088
ZP716000000089;BP716000000089
ZP716000000090;BP716000000090
ZP716000000091;BP716000000091
ZP716000000092;BP716000000092
ZP716000000093;BP716000000093
ZP716000000094;BP716000000094
ZP716000000095;BP716000000095
ZP716000000096;BP716000000096
ZP716000000097;BP716000000097
