TABLE	Nom court de l'attribut	TypeSQL (Postgres)	Relation	Définition	Consultation Lot	PRO	EXE Distri	EXE Transp	REC Transp	REC Distri	REC V2	Règles de gestion	Révision Exploitant 08/02/2019
t_adresse	ad_code	VARCHAR (254)		Code unique de l'adresse.	O	O	O	N	N	O	O		OK
t_adresse	ad_ban_id	VARCHAR (24)		Identifiant Base Adresse Nationale	N	N	N	N	N	N	N		OK
t_adresse	ad_nomvoie	VARCHAR (254)		Nom de la voie	C	C	C	N	N	C	C	 Lettres en majuscule uniquement. Il ne faut ni accent, ni apostrophe, aucune cédille, aucun caractère spécial. 	OK
t_adresse	ad_fantoir	VARCHAR (10)		Identifiant  FANTOIR  contenu  dans  le fichier des propriétés bâtis de la DGFiP	N	N	N	N	N	N	N		OK
t_adresse	ad_numero	INTEGER		Numéro  éventuel  de  l’adresse  dans  la voie	C	C	C	N	N	C	C	C dans le cas où il n'y a pas de numéro	OK
t_adresse	ad_rep	VARCHAR (20)		Indice de répétition associé au numéro (par exemple Bis, A, 1…)	C	C	C	N	N	C	C	 Lettres en majuscule uniquement	OK
t_adresse	ad_insee	VARCHAR(6)		Identifiant INSEE de la commune fondé sur le COG en cours	O	O	O	N	N	O	O		OK
t_adresse	ad_postal	VARCHAR(20)		Code  postal  du  bureau  de  distribution de la voie	O	O	O	N	N	O	O		OK
t_adresse	ad_alias	VARCHAR(254)		Eventuellement   le   nom    en   langue régionale   ou   une   autre   appellation différente de l’appellation officielle	N	N	N	N	N	N	N		OK
t_adresse	ad_nom_ld	VARCHAR(254)		Nom  du  lieu-dit  qui  peut  être  le  nom de la voie parfois	C	C	C	N	N	C	C	A renseigner si si "ad_nomvoie" est vide . 	OK
t_adresse	ad_x_ban	NUMERIC		X en lambert 93	N	N	N	N	N	N	N		OK
t_adresse	ad_y_ban	NUMERIC		Y en lambert 93	N	N	N	N	N	N	N		OK
t_adresse	ad_commune	VARCHAR (254)		Nom officiel de la commune	O	O	O	N	N	O	O	Lettres en majuscule uniquement. Il ne faut ni accent, ni apostrophe, aucune cédille, aucun caractère spécial. S'il y a des tirets, pas d'espace entre les lettres et les tirets 	OK
