rf_code	rf_type	rf_fabric	rf_design	rf_etat	rf_comment	rf_creadat	rf_majdate	rf_majsrc	rf_abddate	rf_abdsrc
RF000000000009	BP	OR000000000100	AFFERMAGE - PB 3M Souterrain Mono Multi 4 cassettes	A	BOITE DE PROTECTION D'EPISSURES - BPE/O - 0	25/1/2019				
RF000000000005	BP	OR000000000100	AFFERMAGE - PBO 8-16	A	Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL CDP 12 PAS	25/1/2019	7/3/2019		7/3/2019	
RF000000000006	BP	OR000000000100	AFFERMAGE - PBO 8-16	A	Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EDP 12 PAS	25/1/2019	7/3/2019		7/3/2019	
RF000000000007	BP	OR000000000100	AFFERMAGE - PBO 8-16	A	Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EOC 12 PAS	25/1/2019	7/3/2019		7/3/2019	
RF000000000008	BP	OR000000000100	AFFERMAGE - PBO 8-16	A	Utiliser AFFERMAGE - PBO 8-16-24-32 - BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL FDP 12 PAS	25/1/2019	7/3/2019		7/3/2019	
RF000000000004	BP	OR000000000100	AFFERMAGE - PEO T2 144	A	3M BPEO-T1,5	25/1/2019				
RF000000000215	BP	OR000000000100	AFFERMAGE - PBO 8-16-24-32	A	BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL CDP 12 PAS	7/3/2019				
RF000000000216	BP	OR000000000100	AFFERMAGE - PBO 8-16-24-32	A	BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EDP 12 PAS	7/3/2019				
RF000000000217	BP	OR000000000100	AFFERMAGE - PBO 8-16-24-32	A	BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL EOC 12 PAS	7/3/2019				
RF000000000218	BP	OR000000000100	AFFERMAGE - PBO 8-16-24-32	A	BOITE DE PROTECTION D'EPISSURES - BPE/O - 1 EVOL FDP 12 PAS	7/3/2019				
RF000000000029	CA	OR000000000101	AFFERMAGE - câble 144 FO modulo 12 - sout	A	ACOME - AFFERMAGE - câble 144 FO modulo 12 - sout	25/1/2019				
RF000000000030	CA	OR000000000101	AFFERMAGE - câble 12 FO modulo 6 - sout	A	ACOME - AFFERMAGE - câble 12 FO modulo 6 - sout	25/1/2019				
RF000000000031	CA	OR000000000101	AFFERMAGE - câble 72 FO modulo 12 - sout	A	ACOME - AFFERMAGE - câble 72 FO modulo 12 - sout	25/1/2019				
RF000000000032	CA	OR000000000101	AFFERMAGE - câble 12 FO modulo 6 - mixte	A	ACOME - AFFERMAGE - câble 12 FO modulo 6 - mixte	25/1/2019				
RF000000000033	CA	OR000000000101	AFFERMAGE - câble 12 FO modulo 6 - imb	A	ACOME - AFFERMAGE - câble 12 FO modulo 6 - imb	25/1/2019				
RF000000000034	CA	OR000000000101	AFFERMAGE - câble 144 FO modulo 12 - imb	A	ACOME - AFFERMAGE - câble 144 FO modulo 12 - imb	25/1/2019				
RF000000000035	CA	OR000000000101	AFFERMAGE - câble 144 FO modulo 6 - imb	A	ACOME - AFFERMAGE - câble 144 FO modulo 6 - imb	25/1/2019				
RF000000000036	CA	OR000000000101	AFFERMAGE - câble 144 FO modulo 6 - mixte	A	ACOME - AFFERMAGE - câble 144 FO modulo 6 - mixte	25/1/2019				
RF000000000037	CA	OR000000000101	AFFERMAGE - câble 144 FO modulo 6 - sout	A	ACOME - AFFERMAGE - câble 144 FO modulo 6 - sout	25/1/2019				
RF000000000038	CA	OR000000000101	AFFERMAGE - câble 24 FO modulo 6 - imb	A	ACOME - AFFERMAGE - câble 24 FO modulo 6 - imb	25/1/2019				
RF000000000039	CA	OR000000000101	AFFERMAGE - câble 24 FO modulo 6 - mixte	A	ACOME - AFFERMAGE - câble 24 FO modulo 6 - mixte	25/1/2019				
RF000000000040	CA	OR000000000101	AFFERMAGE - câble 24 FO modulo 6 - sout	A	ACOME - AFFERMAGE - câble 24 FO modulo 6 - sout	25/1/2019				
RF000000000041	CA	OR000000000101	AFFERMAGE - câble 288 FO modulo 12 - imb	A	ACOME - AFFERMAGE - câble 288 FO modulo 12 - imb	25/1/2019				
